ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
AFFX-r2-Bs-thr-5_s_at	1.08e-05	1.16e-08	-8.37	9.947673	-4.99		
1555945_s_at	1.14e-05	1.25e-08	-8.33	9.877382	-2.13	FAM120A	family with sequence similarity 120A
209411_s_at	1.31e-05	1.49e-08	-8.26	9.714981	-2.14	GGA3	golgi associated, gamma adaptin ear containing, ARF binding protein 3
220462_at	1.49e-05	1.72e-08	-8.19	9.581364	-1.87	CSRNP3	cysteine and serine rich nuclear protein 3
216449_x_at	1.64e-05	1.92e-08	-8.14	9.476132	-2.91	HSP90B1	heat shock protein 90 beta family member 1
232008_s_at	1.85e-05	2.26e-08	-8.07	9.321112	-2.03	BBX	BBX, HMG-box containing
204372_s_at	1.86e-05	2.32e-08	-8.06	9.298093	-1.67	KHSRP	KH-type splicing regulatory protein
229353_s_at	2.11e-05	2.73e-08	-7.98	9.141909	-1.66	NUCKS1	nuclear casein kinase and cyclin dependent kinase substrate 1
236268_at	2.12e-05	2.79e-08	-7.97	9.121844	-1.91	SEC22C	SEC22 homolog C, vesicle trafficking protein
207702_s_at	2.44e-05	3.35e-08	-7.89	8.950601	-3.02	MAGI2	membrane associated guanylate kinase, WW and PDZ domain containing 2
208610_s_at	2.49e-05	3.46e-08	-7.88	8.919819	-2.77	SRRM2	serine/arginine repetitive matrix 2
225476_at	2.51e-05	3.53e-08	-7.87	8.900383	-2.65	GPANK1	G-patch domain and ankyrin repeats 1
1553581_s_at	2.79e-05	3.98e-08	-7.82	8.787385	-1.86	SREK1IP1	SREK1 interacting protein 1
218381_s_at	2.97e-05	4.29e-08	-7.79	8.715666	-1.88	U2AF2	U2 small nuclear RNA auxiliary factor 2
221765_at	3.06e-05	4.51e-08	-7.76	8.668735	-1.92	UGCG	UDP-glucose ceramide glucosyltransferase
241701_at	3.06e-05	4.55e-08	-7.76	8.65971	-2.64	ARHGAP21	Rho GTPase activating protein 21
AFFX-r2-Bs-lys-5_at	3.06e-05	4.6e-08	-7.76	8.650298	-4.38		
230629_s_at	3.06e-05	4.65e-08	-7.75	8.639306	-2.89	EP400	E1A binding protein p400
35436_at	3.11e-05	4.77e-08	-7.74	8.614141	-2.36	GOLGA2	golgin A2
236254_at	3.21e-05	5.03e-08	-7.72	8.564431	-1.89	VPS13B	vacuolar protein sorting 13 homolog B
214577_at	3.43e-05	5.46e-08	-7.68	8.486181	-2.79	MAP1B	microtubule associated protein 1B
218330_s_at	3.77e-05	6.07e-08	-7.63	8.385984	-1.52	NAV2	neuron navigator 2
202844_s_at	3.9e-05	6.43e-08	-7.61	8.332266	-1.67	RALBP1	ralA binding protein 1
234969_s_at	4.02e-05	6.76e-08	-7.59	8.284511	-1.74	EPC1	enhancer of polycomb homolog 1
201465_s_at	4.04e-05	6.87e-08	-7.58	8.268732	-2.13	JUN	Jun proto-oncogene, AP-1 transcription factor subunit
209023_s_at	4.13e-05	7.1e-08	-7.57	8.237636	-2.02	STAG2	stromal antigen 2
200598_s_at	4.21e-05	7.31e-08	-7.55	8.209946	-2.06	MIR3652///HSP90B1	microRNA 3652///heat shock protein 90 beta family member 1
208900_s_at	4.22e-05	7.41e-08	-7.55	8.197093	-2.23	TOP1	topoisomerase (DNA) I
230296_at	4.29e-05	7.7e-08	-7.53	8.161102	-1.92	LOC101930115///C16orf52///VWA3A	von Willebrand factor A domain-containing protein 3A///chromosome 16 open reading frame 52///von Willebrand factor A domain containing 3A
227931_at	4.39e-05	7.96e-08	-7.52	8.129452	-1.67	INO80D	INO80 complex subunit D
1561615_s_at	4.7e-05	8.59e-08	-7.48	8.056734	-1.66	SLC8A1	solute carrier family 8 member A1
207002_s_at	4.71e-05	8.71e-08	-7.48	8.043613	-1.71	PLAGL1	PLAG1 like zinc finger 1
204716_at	4.99e-05	9.48e-08	-7.44	7.962716	-1.79	CCDC6	coiled-coil domain containing 6
1553677_a_at	5e-05	9.6e-08	-7.44	7.951443	-1.62	TIPRL	TOR signaling pathway regulator
214246_x_at	5.09e-05	9.86e-08	-7.42	7.925739	-2.12	MINK1	misshapen like kinase 1
241836_x_at	5.4e-05	1.06e-07	-7.39	7.858942	-3.2	CEP97	centrosomal protein 97
200616_s_at	5.41e-05	1.07e-07	-7.39	7.848882	-1.57	MLEC	malectin
213922_at	5.49e-05	1.1e-07	-7.38	7.818018	-1.95	TTBK2	tau tubulin kinase 2
206864_s_at	5.55e-05	1.13e-07	-7.36	7.792761	-2.84	HRK	harakiri, BCL2 interacting protein
222540_s_at	5.55e-05	1.14e-07	-7.36	7.786908	-1.69	RSF1	remodeling and spacing factor 1
237560_at	5.72e-05	1.2e-07	-7.34	7.735345	-2.97	MRPS5	mitochondrial ribosomal protein S5
206374_at	5.72e-05	1.21e-07	-7.34	7.734089	-1.78	LOC101927562///DUSP8	uncharacterized LOC101927562///dual specificity phosphatase 8
226675_s_at	5.72e-05	1.21e-07	-7.34	7.727489	-2.95	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)
208942_s_at	6.21e-05	1.33e-07	-7.3	7.641245	-1.79	SEC62	SEC62 homolog, preprotein translocation factor
230885_at	6.3e-05	1.36e-07	-7.29	7.619795	-2.86	LOC101930112///SPG7	uncharacterized LOC101930112///SPG7, paraplegin matrix AAA peptidase subunit
242829_x_at	6.31e-05	1.38e-07	-7.28	7.606015	-2.56		
202301_s_at	6.31e-05	1.38e-07	-7.28	7.602324	-1.44	RSRC2	arginine and serine rich coiled-coil 2
224212_s_at	6.34e-05	1.4e-07	-7.27	7.590204	-1.66	PCDHA1///PCDHA2///PCDHA3///PCDHA4///PCDHA5///PCDHA6///PCDHA7///PCDHA8///PCDHA10///PCDHA11///PCDHA12///PCDHA13///PCDHAC1///PCDHAC2///PCDHA9	protocadherin alpha 1///protocadherin alpha 2///protocadherin alpha 3///protocadherin alpha 4///protocadherin alpha 5///protocadherin alpha 6///protocadherin alpha 7///protocadherin alpha 8///protocadherin alpha 10///protocadherin alpha 11///protocadherin alpha 12///protocadherin alpha 13///protocadherin alpha subfamily C, 1///protocadherin alpha subfamily C, 2///protocadherin alpha 9
235484_at	6.41e-05	1.43e-07	-7.26	7.570624	-2.0	PTAR1	protein prenyltransferase alpha subunit repeat containing 1
203202_at	6.41e-05	1.44e-07	-7.26	7.563655	-1.88	KRR1	KRR1, small subunit processome component homolog
212917_x_at	6.43e-05	1.46e-07	-7.26	7.552908	-1.76	RECQL	RecQ like helicase
205871_at	6.61e-05	1.52e-07	-7.24	7.511474	-2.48	PLGLB1///PLGLB2	plasminogen-like B1///plasminogen-like B2
243683_at	6.81e-05	1.58e-07	-7.22	7.47606	-3.41	MORF4L2	mortality factor 4 like 2
201065_s_at	7.33e-05	1.72e-07	-7.19	7.398495	-1.27	GTF2IP4///GTF2IP1///GTF2I	general transcription factor IIi pseudogene 4///general transcription factor IIi pseudogene 1///general transcription factor IIi
1557545_s_at	7.55e-05	1.79e-07	-7.17	7.355821	-2.27	RNF165	ring finger protein 165
239035_at	7.65e-05	1.83e-07	-7.16	7.335575	-2.21	MTHFR	methylenetetrahydrofolate reductase (NAD(P)H)
243904_at	7.77e-05	1.88e-07	-7.15	7.312946	-1.48	STXBP5	syntaxin binding protein 5
218521_s_at	7.77e-05	1.89e-07	-7.15	7.30658	-1.55	UBE2W	ubiquitin conjugating enzyme E2 W (putative)
240050_s_at	7.79e-05	1.91e-07	-7.14	7.296628	-3.28	PPM1K	protein phosphatase, Mg2+/Mn2+ dependent 1K
205787_x_at	7.81e-05	1.93e-07	-7.14	7.284187	-2.56	LOC441155///ZC3H11A	zinc finger CCCH-type domain-containing-like///zinc finger CCCH-type containing 11A
32069_at	7.87e-05	1.99e-07	-7.13	7.259155	-1.56	N4BP1	NEDD4 binding protein 1
242068_at	7.98e-05	2.03e-07	-7.12	7.238902	-2.83		
221006_s_at	8.01e-05	2.05e-07	-7.11	7.228083	-1.45	SNX27	sorting nexin family member 27
223189_x_at	8.05e-05	2.07e-07	-7.11	7.217213	-2.09	KMT2E	lysine methyltransferase 2E
229520_s_at	8.32e-05	2.18e-07	-7.09	7.171647	-2.21	GPATCH2L	G-patch domain containing 2 like
235918_x_at	8.44e-05	2.22e-07	-7.08	7.151163	-1.51	CEP97	centrosomal protein 97
242712_x_at	8.53e-05	2.26e-07	-7.07	7.134606	-2.93	RGPD2///RGPD6///RGPD8///RGPD3///RGPD1///RGPD4///RGPD5///RANBP2	RANBP2-like and GRIP domain containing 2///RANBP2-like and GRIP domain containing 6///RANBP2-like and GRIP domain containing 8///RANBP2-like and GRIP domain containing 3///RANBP2-like and GRIP domain containing 1///RANBP2-like and GRIP domain containing 4///RANBP2-like and GRIP domain containing 5///RAN binding protein 2
226368_at	9.12e-05	2.47e-07	-7.03	7.051255	-2.26	CHST11	carbohydrate (chondroitin 4) sulfotransferase 11
242292_at	0.000102	2.8e-07	-6.98	6.929671	-1.96	FAM226B///FAM226A	family with sequence similarity 226 member B (non-protein coding)///family with sequence similarity 226 member A (non-protein coding)
240180_at	0.000104	2.88e-07	-6.97	6.905705	-1.91		
223701_s_at	0.000105	2.91e-07	-6.96	6.893528	-2.51	USP47	ubiquitin specific peptidase 47
222024_s_at	0.000105	2.93e-07	-6.96	6.888065	-1.76	AKAP13	A-kinase anchoring protein 13
228854_at	0.000105	3e-07	-6.95	6.866871	-2.05		
238558_at	0.000105	3e-07	-6.95	6.866513	-2.5		
240392_at	0.000112	3.22e-07	-6.92	6.797856	-4.14	LOC105371920	uncharacterized LOC105371920
214726_x_at	0.000122	3.58e-07	-6.88	6.697795	-1.59	ADD1	adducin 1
1556306_at	0.000124	3.65e-07	-6.87	6.678244	-1.68		
1570098_at	0.000126	3.74e-07	-6.86	6.655789	-3.08		
214799_at	0.000129	3.86e-07	-6.85	6.624739	-2.2	NFASC	neurofascin
230180_at	0.000131	3.94e-07	-6.84	6.606079	-2.06	DDX17	DEAD-box helicase 17
243498_at	0.000131	3.95e-07	-6.84	6.602792	-4.17		
208803_s_at	0.000132	4.03e-07	-6.83	6.583338	-1.74	SRP72	signal recognition particle 72
232511_at	0.000132	4.04e-07	-6.83	6.580865	-2.27		
1559882_at	0.000137	4.24e-07	-6.81	6.535295	-3.65	SAMHD1	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1
1555125_at	0.000137	4.24e-07	-6.81	6.534786	-3.32	PAXBP1	PAX3 and PAX7 binding protein 1
1554001_at	0.00014	4.38e-07	-6.8	6.50455	-2.18	TRIM37	tripartite motif containing 37
237139_at	0.00014	4.43e-07	-6.79	6.492966	-3.61	PDE9A	phosphodiesterase 9A
204584_at	0.00014	4.46e-07	-6.79	6.486327	-1.83	L1CAM	L1 cell adhesion molecule
1558592_at	0.00014	4.47e-07	-6.79	6.484928	-2.6		
1555153_s_at	0.000149	4.79e-07	-6.76	6.418915	-3.11	FCHO2	FCH domain only 2
232309_at	0.000152	4.91e-07	-6.75	6.394208	-3.2	LOC202181	SUMO interacting motifs containing 1 pseudogene
36612_at	0.000161	5.3e-07	-6.72	6.322192	-1.32	FAM168A	family with sequence similarity 168 member A
33148_at	0.000162	5.43e-07	-6.71	6.298159	-1.83	ZFR	zinc finger RNA binding protein
222652_s_at	0.000163	5.48e-07	-6.7	6.290335	-1.97	GLYR1	glyoxylate reductase 1 homolog
201083_s_at	0.000164	5.54e-07	-6.7	6.278606	-1.64	BCLAF1	BCL2 associated transcription factor 1
228582_x_at	0.000166	5.65e-07	-6.69	6.261032	-1.76	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)
1569126_at	0.000167	5.71e-07	-6.69	6.25057	-3.17	CCNC	cyclin C
244868_at	0.00017	5.88e-07	-6.67	6.221721	-3.0		
1555920_at	0.00017	5.93e-07	-6.67	6.213653	-3.45	CBX3	chromobox 3
209484_s_at	0.00017	5.94e-07	-6.67	6.212473	-1.4	NSL1	NSL1, MIS12 kinetochore complex component
212492_s_at	0.000176	6.25e-07	-6.65	6.164557	-3.69	KDM4B	lysine demethylase 4B
205709_s_at	0.000176	6.27e-07	-6.65	6.16114	-1.56	CDS1	CDP-diacylglycerol synthase 1
218859_s_at	0.000179	6.42e-07	-6.64	6.137823	-1.86	ESF1	ESF1 nucleolar pre-rRNA processing protein homolog
235672_at	0.000182	6.54e-07	-6.63	6.119921	-1.9	MAP6	microtubule associated protein 6
1556323_at	0.000182	6.59e-07	-6.63	6.112912	-2.82	CELF2	CUGBP, Elav-like family member 2
239095_at	0.000187	6.83e-07	-6.61	6.079628	-1.62	GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B
211568_at	0.000188	6.93e-07	-6.6	6.064839	-2.46	ADGRB3	adhesion G protein-coupled receptor B3
212384_at	0.000188	6.98e-07	-6.6	6.058546	-2.96	ATP6V1G2-DDX39B///SNORD84///DDX39B	ATP6V1G2-DDX39B readthrough (NMD candidate)///small nucleolar RNA, C/D box 84///DEAD-box helicase 39B
214897_at	0.000189	7.04e-07	-6.6	6.049407	-3.45		
205809_s_at	0.000191	7.24e-07	-6.59	6.023382	-2.5	WASL	Wiskott-Aldrich syndrome like
201996_s_at	0.000193	7.4e-07	-6.58	6.002961	-2.41	SPEN	spen family transcriptional repressor
236841_at	0.000193	7.42e-07	-6.58	6.000075	-1.86	LOC100134445	uncharacterized LOC100134445
243916_x_at	0.000197	7.63e-07	-6.57	5.972506	-1.94	UBLCP1	ubiquitin like domain containing CTD phosphatase 1
214806_at	0.000197	7.65e-07	-6.56	5.971043	-1.88	BICD1	BICD cargo adaptor 1
217482_at	0.000198	7.73e-07	-6.56	5.960627	-2.76		
205596_s_at	0.000198	7.77e-07	-6.56	5.955761	-1.78	SMURF2	SMAD specific E3 ubiquitin protein ligase 2
209186_at	0.000207	8.15e-07	-6.54	5.910048	-1.65	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
230064_at	0.000208	8.25e-07	-6.53	5.89833	-3.03		
225167_at	0.00021	8.38e-07	-6.53	5.883243	-1.46	FRMD4A	FERM domain containing 4A
205426_s_at	0.000211	8.47e-07	-6.52	5.872848	-2.94	HIP1	huntingtin interacting protein 1
206562_s_at	0.000212	8.58e-07	-6.52	5.860814	-2.47	CSNK1A1	casein kinase 1 alpha 1
1558733_at	0.000212	8.59e-07	-6.52	5.859604	-2.19	ZBTB38	zinc finger and BTB domain containing 38
237768_x_at	0.000215	8.76e-07	-6.51	5.840689	-2.74		
212007_at	0.000216	8.86e-07	-6.5	5.829928	-1.59	UBXN4	UBX domain protein 4
1558702_at	0.000216	8.92e-07	-6.5	5.823364	-2.13	TEX10	testis expressed 10
1561763_at	0.000216	8.93e-07	-6.5	5.822723	-2.71		
214843_s_at	0.000217	9.03e-07	-6.5	5.811806	-1.68	USP33	ubiquitin specific peptidase 33
221506_s_at	0.000218	9.1e-07	-6.49	5.803876	-1.76	TNPO2	transportin 2
230528_s_at	0.000219	9.16e-07	-6.49	5.797945	-1.82	CENPBD1P1	CENPB DNA-binding domains containing 1 pseudogene 1
215169_at	0.00022	9.25e-07	-6.49	5.788966	-2.07	SLC35E2B///SLC35E2	solute carrier family 35 member E2B///solute carrier family 35 member E2
209225_x_at	0.000224	9.46e-07	-6.48	5.766925	-1.83	TNPO1	transportin 1
242239_at	0.000225	9.56e-07	-6.47	5.757507	-2.33	NSUN6	NOP2/Sun RNA methyltransferase family member 6
242835_s_at	0.000229	9.75e-07	-6.47	5.738343	-2.78	LOC728730	uncharacterized LOC728730
213457_at	0.000229	9.84e-07	-6.46	5.729301	-1.35	MFHAS1	malignant fibrous histiocytoma amplified sequence 1
1556352_at	0.000229	9.84e-07	-6.46	5.729229	-1.99		
1560109_s_at	0.00023	1.01e-06	-6.45	5.708541	-3.26	LOC401433///NUB1	uncharacterized LOC401433///negative regulator of ubiquitin like proteins 1
223261_at	0.00023	1.01e-06	-6.45	5.702167	-1.49	POLK	DNA polymerase kappa
237549_at	0.00023	1.02e-06	-6.45	5.698706	-2.64		
236696_at	0.00023	1.02e-06	-6.45	5.691509	-2.9	U2SURP	U2 snRNP associated SURP domain containing
236488_s_at	0.00023	1.03e-06	-6.44	5.686939	-1.57		
1552507_at	0.000233	1.06e-06	-6.43	5.661056	-3.34	KCNE4	potassium voltage-gated channel subfamily E regulatory subunit 4
234505_at	0.000233	1.06e-06	-6.43	5.659937	-2.06		
227740_at	0.000234	1.07e-06	-6.43	5.649116	-1.82	UHMK1	U2AF homology motif (UHM) kinase 1
238736_at	0.000234	1.08e-06	-6.43	5.644555	-1.34	REV3L	REV3 like, DNA directed polymerase zeta catalytic subunit
1566887_x_at	0.000234	1.08e-06	-6.42	5.637848	-2.67		
224828_at	0.000234	1.08e-06	-6.42	5.637379	-2.0	CPEB4	cytoplasmic polyadenylation element binding protein 4
239740_at	0.000239	1.11e-06	-6.41	5.615348	-2.96	ETV6	ETS variant 6
212079_s_at	0.000242	1.13e-06	-6.41	5.597779	-2.42	KMT2A	lysine methyltransferase 2A
222395_s_at	0.000242	1.13e-06	-6.4	5.593702	-1.81	UBE2Z	ubiquitin conjugating enzyme E2 Z
1554249_a_at	0.000242	1.14e-06	-6.4	5.590509	-3.88	ZNF638-IT1///ZNF638	ZNF638 intronic transcript 1///zinc finger protein 638
215789_s_at	0.000246	1.17e-06	-6.39	5.563293	-2.24	AJAP1	adherens junctions associated protein 1
209982_s_at	0.000252	1.2e-06	-6.38	5.536958	-1.58	NRXN2	neurexin 2
231875_at	0.000253	1.22e-06	-6.37	5.521318	-1.44	KIF21A	kinesin family member 21A
227923_at	0.000253	1.22e-06	-6.37	5.520035	-1.27	SHANK3	SH3 and multiple ankyrin repeat domains 3
238651_at	0.000253	1.23e-06	-6.37	5.517869	-1.66		
223916_s_at	0.000253	1.23e-06	-6.37	5.515714	-3.95	BCOR	BCL6 corepressor
1568877_a_at	0.000257	1.25e-06	-6.36	5.496922	-2.37	ACBD5	acyl-CoA binding domain containing 5
224875_at	0.000257	1.26e-06	-6.36	5.494557	-2.14	C5orf24	chromosome 5 open reading frame 24
227195_at	0.000259	1.28e-06	-6.36	5.480847	-1.89	ZNF503	zinc finger protein 503
225234_at	0.000262	1.29e-06	-6.35	5.468278	-1.33	CBL	Cbl proto-oncogene
230270_at	0.000263	1.3e-06	-6.35	5.459843	-1.9	PRPF38B	pre-mRNA processing factor 38B
213954_at	0.000265	1.33e-06	-6.34	5.438953	-1.65	FAM169A	family with sequence similarity 169 member A
238595_at	0.000265	1.33e-06	-6.34	5.438212	-2.58		
1557176_a_at	0.000265	1.33e-06	-6.34	5.437961	-1.47	C14orf37	chromosome 14 open reading frame 37
212462_at	0.000266	1.35e-06	-6.33	5.428552	-1.43	KAT6B	lysine acetyltransferase 6B
218166_s_at	0.000268	1.36e-06	-6.33	5.418634	-1.6	RSF1	remodeling and spacing factor 1
244300_at	0.000272	1.39e-06	-6.32	5.40059	-2.65		
227030_at	0.000274	1.41e-06	-6.31	5.383323	-2.74	IKZF3	IKAROS family zinc finger 3
229264_at	0.000274	1.41e-06	-6.31	5.382695	-1.5		
1558226_a_at	0.000283	1.47e-06	-6.3	5.345844	-1.64	GABRB1	gamma-aminobutyric acid type A receptor beta1 subunit
224651_at	0.000283	1.47e-06	-6.3	5.344205	-1.57	CCNY	cyclin Y
219437_s_at	0.000289	1.51e-06	-6.29	5.316616	-1.67	ANKRD11	ankyrin repeat domain 11
203318_s_at	0.000291	1.53e-06	-6.28	5.309282	-1.26	ZNF148	zinc finger protein 148
227551_at	0.000292	1.54e-06	-6.28	5.299454	-1.35	ABHD17B	abhydrolase domain containing 17B
244508_at	0.000292	1.54e-06	-6.28	5.298283	-2.93	SEPT7	septin 7
243329_at	0.000292	1.55e-06	-6.28	5.293373	-2.88		
201918_at	0.000298	1.59e-06	-6.27	5.269282	-1.47	SLC25A36	solute carrier family 25 member 36
243664_at	0.000298	1.59e-06	-6.27	5.267542	-1.67	TXNL1	thioredoxin like 1
203074_at	0.000299	1.6e-06	-6.26	5.263664	-2.53	ANXA8L1///ANXA8	annexin A8-like 1///annexin A8
206322_at	0.000303	1.63e-06	-6.26	5.247096	-3.07	SYN3	synapsin III
243993_at	0.000309	1.67e-06	-6.25	5.22388	-1.79		
236000_s_at	0.000313	1.7e-06	-6.24	5.208017	-2.55		
226158_at	0.000314	1.71e-06	-6.24	5.201385	-1.28	KLHL24	kelch like family member 24
238908_at	0.000322	1.78e-06	-6.22	5.162344	-1.6		
208859_s_at	0.000322	1.78e-06	-6.22	5.160082	-1.76	ATRX	ATRX, chromatin remodeler
240451_at	0.000322	1.79e-06	-6.22	5.156081	-2.95		
214501_s_at	0.000323	1.8e-06	-6.22	5.15026	-1.22	H2AFY	H2A histone family member Y
226575_at	0.000328	1.85e-06	-6.21	5.126148	-1.36	ZNF462	zinc finger protein 462
225431_x_at	0.000328	1.85e-06	-6.21	5.124974	-1.27	PM20D2	peptidase M20 domain containing 2
203753_at	0.000355	2.02e-06	-6.17	5.041249	-1.45	TCF4	transcription factor 4
226876_at	0.000355	2.02e-06	-6.17	5.038257	-1.72	FAM101B	family with sequence similarity 101 member B
238845_at	0.000359	2.06e-06	-6.16	5.023161	-2.9	SLC30A4	solute carrier family 30 member 4
240141_at	0.00036	2.07e-06	-6.16	5.015446	-2.46		
243203_at	0.000366	2.12e-06	-6.15	4.992684	-2.63		
227227_at	0.000371	2.16e-06	-6.14	4.976265	-1.58		
244523_at	0.000371	2.17e-06	-6.14	4.973542	-1.74	MMD	monocyte to macrophage differentiation associated
217538_at	0.000379	2.24e-06	-6.13	4.940686	-2.91	SGSM2	small G protein signaling modulator 2
221829_s_at	0.00038	2.25e-06	-6.13	4.935087	-1.7	TNPO1	transportin 1
1554067_at	0.000381	2.26e-06	-6.12	4.931572	-1.71	C12orf66	chromosome 12 open reading frame 66
1556336_at	0.000384	2.3e-06	-6.12	4.916472	-3.06	LOC101928747///RBMX///SNORD61	uncharacterized LOC101928747///RNA binding motif protein, X-linked///small nucleolar RNA, C/D box 61
220828_s_at	0.000406	2.44e-06	-6.09	4.857281	-3.55	LOC55338	uncharacterized LOC55338
229752_at	0.000409	2.47e-06	-6.09	4.847561	-2.1	IKZF4	IKAROS family zinc finger 4
209136_s_at	0.000411	2.49e-06	-6.09	4.840219	-1.63	USP10	ubiquitin specific peptidase 10
212099_at	0.000419	2.55e-06	-6.08	4.817484	-1.64	RHOB	ras homolog family member B
228613_at	0.000419	2.55e-06	-6.08	4.816556	-2.09	RAB11FIP3	RAB11 family interacting protein 3
1558924_s_at	0.000439	2.69e-06	-6.05	4.765301	-1.9	CLIP1	CAP-Gly domain containing linker protein 1
228628_at	0.000446	2.75e-06	-6.05	4.744477	-1.41	SRGAP2C	SLIT-ROBO Rho GTPase activating protein 2C
232940_s_at	0.000446	2.75e-06	-6.04	4.742583	-1.67	KMT2C	lysine methyltransferase 2C
229265_at	0.000446	2.76e-06	-6.04	4.742163	-1.51	SKI	SKI proto-oncogene
