ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
220942_x_at	0.000375	2.2e-06	6.13	4.957478	1.87	FAM162A	family with sequence similarity 162 member A
202176_at	0.000375	2.21e-06	6.13	4.953843	1.47	ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit
200732_s_at	0.000384	2.29e-06	6.12	4.918165	1.31	PTP4A1	protein tyrosine phosphatase type IVA, member 1
204795_at	0.000389	2.34e-06	6.11	4.900652	2.89	PRR3	proline rich 3
214771_x_at	0.000434	2.65e-06	6.06	4.77911	1.35	MPRIP	myosin phosphatase Rho interacting protein
225821_s_at	0.000449	2.79e-06	6.04	4.729575	1.27	BOD1L1	biorientation of chromosomes in cell division 1 like 1
202809_s_at	0.000449	2.79e-06	6.04	4.728827	1.38	INTS3	integrator complex subunit 3
230407_at	0.000454	2.83e-06	6.03	4.716093	1.21	SBNO1	strawberry notch homolog 1
202342_s_at	0.000463	2.91e-06	6.02	4.689627	1.54	TRIM2	tripartite motif containing 2
216782_at	0.000465	2.93e-06	6.02	4.683064	2.32		
219193_at	0.000469	2.98e-06	6.01	4.667393	2.37	WDR70	WD repeat domain 70
212639_x_at	0.000478	3.04e-06	6.0	4.647698	2.19	TUBA1B	tubulin alpha 1b
204513_s_at	0.000481	3.08e-06	6.0	4.636791	2.5	ELMO1	engulfment and cell motility 1
202178_at	0.000482	3.09e-06	6.0	4.631516	1.45	PRKCZ	protein kinase C zeta
227639_at	0.000485	3.15e-06	5.99	4.61352	1.92	PIGK	phosphatidylinositol glycan anchor biosynthesis class K
224597_at	0.000509	3.36e-06	5.96	4.55153	1.22	NORAD	non-coding RNA activated by DNA damage
212878_s_at	0.000509	3.37e-06	5.96	4.548636	1.94	KLC1	kinesin light chain 1
218167_at	0.000533	3.61e-06	5.94	4.483136	1.95	AMZ2	archaelysin family metallopeptidase 2
201090_x_at	0.000567	3.94e-06	5.9	4.399086	1.99	TUBA1B	tubulin alpha 1b
213808_at	0.000572	4.08e-06	5.89	4.366846	1.73	ADAM23	ADAM metallopeptidase domain 23
224581_s_at	0.000572	4.08e-06	5.89	4.366529	1.44	NUCKS1	nuclear casein kinase and cyclin dependent kinase substrate 1
218138_at	0.000572	4.08e-06	5.89	4.365705	1.41	MKKS	McKusick-Kaufman syndrome
217077_s_at	0.000576	4.13e-06	5.88	4.353474	1.25	GABBR2	gamma-aminobutyric acid type B receptor subunit 2
200638_s_at	0.000584	4.23e-06	5.87	4.330405	2.29	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
223183_at	0.000589	4.31e-06	5.87	4.31314	1.22	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3
224330_s_at	0.000598	4.42e-06	5.86	4.288786	1.43	MRPL27	mitochondrial ribosomal protein L27
218557_at	0.0006	4.44e-06	5.85	4.283669	1.68	NIT2	nitrilase family member 2
201600_at	0.000604	4.52e-06	5.85	4.26838	1.3	PHB2	prohibitin 2
227321_at	0.000604	4.52e-06	5.85	4.267537	1.38	GATS	GATS, stromal antigen 3 opposite strand
201463_s_at	0.000612	4.6e-06	5.84	4.25124	1.47	TALDO1	transaldolase 1
227396_at	0.000625	4.73e-06	5.83	4.223102	1.35	PTPRJ	protein tyrosine phosphatase, receptor type J
218456_at	0.000629	4.8e-06	5.82	4.209586	1.48	CAPRIN2	caprin family member 2
201751_at	0.000634	4.91e-06	5.81	4.187827	1.21	JOSD1	Josephin domain containing 1
208880_s_at	0.000634	4.91e-06	5.81	4.187142	1.34	PRPF6	pre-mRNA processing factor 6
220155_s_at	0.000634	4.94e-06	5.81	4.182279	1.8	BRD9	bromodomain containing 9
202243_s_at	0.000639	5.01e-06	5.81	4.16794	2.47	PSMB4	proteasome subunit beta 4
208668_x_at	0.000639	5.05e-06	5.8	4.16072	1.29	HMGN2	high mobility group nucleosomal binding domain 2
AFFX-HSAC07/X00351_M_at	0.000639	5.06e-06	5.8	4.158895	2.84	ACTB	actin beta
204301_at	0.000639	5.07e-06	5.8	4.156953	1.53	KBTBD11	kelch repeat and BTB domain containing 11
204690_at	0.000665	5.43e-06	5.77	4.091983	1.7	STX8	syntaxin 8
218504_at	0.000665	5.44e-06	5.77	4.090159	1.92	FAHD2A	fumarylacetoacetate hydrolase domain containing 2A
224878_at	0.000665	5.44e-06	5.77	4.089372	1.41	UBFD1	ubiquitin family domain containing 1
229120_s_at	0.000671	5.52e-06	5.77	4.075002	1.56	CDC42SE1	CDC42 small effector 1
209860_s_at	0.000673	5.59e-06	5.76	4.063139	1.7	ANXA7	annexin A7
235225_at	0.000673	5.61e-06	5.76	4.059417	1.69	SCN2B	sodium voltage-gated channel beta subunit 2
217829_s_at	0.000694	5.86e-06	5.74	4.018571	2.55	USP39	ubiquitin specific peptidase 39
200695_at	0.000704	6.02e-06	5.73	3.9918	1.52	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha
220690_s_at	0.000706	6.05e-06	5.73	3.986689	2.9	DHRS7B	dehydrogenase/reductase 7B
211296_x_at	0.000708	6.08e-06	5.73	3.98216	1.64	UBC	ubiquitin C
210417_s_at	0.000708	6.12e-06	5.73	3.976806	1.54	PI4KB	phosphatidylinositol 4-kinase beta
200953_s_at	0.000708	6.12e-06	5.73	3.975807	1.74	CCND2	cyclin D2
211750_x_at	0.000708	6.13e-06	5.73	3.974736	1.84	TUBA1C	tubulin alpha 1c
218192_at	0.000708	6.14e-06	5.72	3.973653	1.55	IP6K2	inositol hexakisphosphate kinase 2
238890_at	0.000716	6.26e-06	5.72	3.954092	1.29	BRWD1	bromodomain and WD repeat domain containing 1
224345_x_at	0.000726	6.37e-06	5.71	3.937293	1.91	FAM162A	family with sequence similarity 162 member A
202712_s_at	0.00073	6.42e-06	5.71	3.930232	1.56	CKMT1A///CKMT1B	creatine kinase, mitochondrial 1A///creatine kinase, mitochondrial 1B
211995_x_at	0.000734	6.49e-06	5.7	3.920382	1.85	ACTG1///ACTB	actin gamma 1///actin beta
222125_s_at	0.000734	6.51e-06	5.7	3.917592	1.44	P4HTM	prolyl 4-hydroxylase, transmembrane
207877_s_at	0.000747	6.67e-06	5.69	3.894355	2.58	NVL	nuclear VCP-like
217964_at	0.000757	6.77e-06	5.69	3.878885	1.85	TTC19	tetratricopeptide repeat domain 19
211058_x_at	0.000757	6.81e-06	5.68	3.874028	1.56	TUBA1B	tubulin alpha 1b
212153_at	0.000761	6.86e-06	5.68	3.866837	1.13	POGZ	pogo transposable element with ZNF domain
225143_at	0.000764	6.93e-06	5.68	3.856914	1.25	SFXN4	sideroflexin 4
200955_at	0.000774	7.05e-06	5.67	3.840909	1.71	IMMT	inner membrane mitochondrial protein
212674_s_at	0.000786	7.2e-06	5.66	3.820057	1.52	DHX30	DEAH-box helicase 30
202568_s_at	0.0008	7.4e-06	5.65	3.794035	1.26	MARK3	microtubule affinity regulating kinase 3
225045_at	0.000803	7.5e-06	5.65	3.781449	1.51	CCDC88A	coiled-coil domain containing 88A
AFFX-HUMGAPDH/M33197_5_at	0.000803	7.51e-06	5.65	3.780037	2.44	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
212787_at	0.000818	7.72e-06	5.63	3.752886	1.54	YLPM1	YLP motif containing 1
213646_x_at	0.000819	7.75e-06	5.63	3.74961	2.11	TUBA1B	tubulin alpha 1b
218190_s_at	0.000839	8.04e-06	5.62	3.714078	1.42	UQCR10	ubiquinol-cytochrome c reductase, complex III subunit X
218733_at	0.000845	8.12e-06	5.61	3.704326	2.5	MSL2	male-specific lethal 2 homolog (Drosophila)
209251_x_at	0.000845	8.13e-06	5.61	3.703905	1.87	TUBA1C	tubulin alpha 1c
208680_at	0.000849	8.2e-06	5.61	3.695361	1.99	PRDX1	peroxiredoxin 1
200594_x_at	0.000851	8.24e-06	5.61	3.691122	1.16	HNRNPU	heterogeneous nuclear ribonucleoprotein U
201232_s_at	0.000857	8.34e-06	5.6	3.679594	1.38	PSMD13	proteasome 26S subunit, non-ATPase 13
221483_s_at	0.00086	8.47e-06	5.6	3.66447	1.37	ARPP19	cAMP regulated phosphoprotein 19
201197_at	0.000865	8.54e-06	5.59	3.656341	2.15	AMD1	adenosylmethionine decarboxylase 1
211072_x_at	0.000872	8.68e-06	5.59	3.640799	1.52	TUBA1B	tubulin alpha 1b
218917_s_at	0.000888	8.93e-06	5.58	3.613179	1.4	ARID1A	AT-rich interaction domain 1A
202201_at	0.000893	9.03e-06	5.57	3.603073	2.02	BLVRB	biliverdin reductase B
204355_at	0.000919	9.41e-06	5.56	3.563118	1.63	DHX30	DEAH-box helicase 30
224709_s_at	0.000925	9.51e-06	5.55	3.553012	1.42	CDC42SE2	CDC42 small effector 2
200681_at	0.000928	9.55e-06	5.55	3.548684	1.61	GLO1	glyoxalase I
201199_s_at	0.000933	9.62e-06	5.55	3.542103	1.49	PSMD1	proteasome 26S subunit, non-ATPase 1
202517_at	0.000937	9.72e-06	5.54	3.532239	1.59	CRMP1	collapsin response mediator protein 1
201550_x_at	0.000942	9.78e-06	5.54	3.525856	1.21	ACTG1///ACTB	actin gamma 1///actin beta
210252_s_at	0.000943	9.9e-06	5.54	3.51453	1.64	MADD	MAP kinase activating death domain
203392_s_at	0.000943	9.92e-06	5.54	3.512472	1.27	CTBP1	C-terminal binding protein 1
222507_s_at	0.00095	1e-05	5.53	3.501369	2.65	TMEM9B	TMEM9 domain family member B
214728_x_at	0.00095	1e-05	5.53	3.500746	1.42	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
222409_at	0.000956	1.01e-05	5.53	3.491448	1.35	CORO1C	coronin 1C
201174_s_at	0.000965	1.03e-05	5.52	3.4746	1.29	TERF2IP	TERF2 interacting protein
209092_s_at	0.000971	1.04e-05	5.51	3.462946	1.56	GLOD4	glyoxalase domain containing 4
212348_s_at	0.000972	1.05e-05	5.51	3.457195	1.89	KDM1A	lysine demethylase 1A
225086_at	0.000976	1.06e-05	5.51	3.446992	1.52	FAM98B	family with sequence similarity 98 member B
201341_at	0.000976	1.07e-05	5.5	3.438743	1.8	ENC1	ectodermal-neural cortex 1
200875_s_at	0.000976	1.07e-05	5.5	3.438406	1.12	MIR1292///SNORD110///SNORD86///SNORD57///NOP56	microRNA 1292///small nucleolar RNA, C/D box 110///small nucleolar RNA, C/D box 86///small nucleolar RNA, C/D box 57///NOP56 ribonucleoprotein
218079_s_at	0.000976	1.07e-05	5.5	3.437087	1.15	GGNBP2	gametogenetin binding protein 2
218336_at	0.000977	1.08e-05	5.5	3.427633	1.27	PFDN2	prefoldin subunit 2
210758_at	0.000977	1.09e-05	5.5	3.425944	1.31	PSIP1	PC4 and SFRS1 interacting protein 1
211073_x_at	0.000977	1.09e-05	5.5	3.425559	2.12	SNORD83B///SNORD139///RPL3	small nucleolar RNA, C/D box 83B///small nucleolar RNA, C/D box 139///ribosomal protein L3
213407_at	0.000985	1.1e-05	5.5	3.415533	1.41	PHLPP2	PH domain and leucine rich repeat protein phosphatase 2
204031_s_at	0.000999	1.12e-05	5.49	3.392421	1.55	PCBP2	poly(rC) binding protein 2
38398_at	0.000999	1.13e-05	5.48	3.388481	1.03	MADD	MAP kinase activating death domain
210976_s_at	0.000999	1.13e-05	5.48	3.384748	1.45	PFKM	phosphofructokinase, muscle
201371_s_at	0.001	1.15e-05	5.48	3.37433	1.54	CUL3	cullin 3
201756_at	0.00101	1.16e-05	5.47	3.364835	1.48	RPA2	replication protein A2
200064_at	0.00101	1.16e-05	5.47	3.360598	1.91	HSP90AB1	heat shock protein 90 alpha family class B member 1
201725_at	0.00102	1.18e-05	5.47	3.347383	1.32	CDC123	cell division cycle 123
206015_s_at	0.00102	1.18e-05	5.47	3.3431	1.24	FOXJ3	forkhead box J3
226492_at	0.00102	1.18e-05	5.47	3.342674	1.72	SEMA6D	semaphorin 6D
212266_s_at	0.00103	1.2e-05	5.46	3.332646	1.32	SRSF5	serine and arginine rich splicing factor 5
212798_s_at	0.00103	1.2e-05	5.46	3.329953	1.41	ANKMY2	ankyrin repeat and MYND domain containing 2
214736_s_at	0.00104	1.21e-05	5.46	3.323457	1.57	ADD1	adducin 1
212877_at	0.00106	1.25e-05	5.45	3.293691	1.8	KLC1	kinesin light chain 1
200802_at	0.00107	1.26e-05	5.44	3.279724	1.38	SARS	seryl-tRNA synthetase
202257_s_at	0.00107	1.27e-05	5.44	3.278961	2.11	CD2BP2	CD2 cytoplasmic tail binding protein 2
202298_at	0.00108	1.27e-05	5.44	3.273929	1.91	NDUFA1	NADH:ubiquinone oxidoreductase subunit A1
218117_at	0.00109	1.29e-05	5.43	3.259402	1.39	RBX1	ring-box 1
204892_x_at	0.00109	1.29e-05	5.43	3.256756	2.25	EEF1A1	eukaryotic translation elongation factor 1 alpha 1
213897_s_at	0.00109	1.3e-05	5.43	3.251289	1.17	MRPL23	mitochondrial ribosomal protein L23
213555_at	0.00109	1.31e-05	5.43	3.248091	1.25	RWDD2A	RWD domain containing 2A
200950_at	0.0011	1.32e-05	5.42	3.236556	3.89	ARPC1A	actin related protein 2/3 complex subunit 1A
222192_s_at	0.0011	1.33e-05	5.42	3.234099	2.15	LDAH	lipid droplet associated hydrolase
200065_s_at	0.0011	1.33e-05	5.42	3.229039	1.38	MIR3620///ARF1	microRNA 3620///ADP ribosylation factor 1
223214_s_at	0.00111	1.35e-05	5.41	3.218752	1.01	ZHX1	zinc fingers and homeoboxes 1
212363_x_at	0.00111	1.35e-05	5.41	3.217551	1.73	ACTG1///ACTB	actin gamma 1///actin beta
206809_s_at	0.00111	1.35e-05	5.41	3.216182	1.48	HNRNPA3///HNRNPA3P1	heterogeneous nuclear ribonucleoprotein A3///heterogeneous nuclear ribonucleoprotein A3 pseudogene 1
221504_s_at	0.00112	1.38e-05	5.4	3.194869	1.89	ATP6V1H	ATPase H+ transporting V1 subunit H
201608_s_at	0.00112	1.38e-05	5.4	3.192317	1.16	PWP1	PWP1 homolog, endonuclein
228749_at	0.00112	1.39e-05	5.4	3.185143	1.34	ZDBF2	zinc finger DBF-type containing 2
221548_s_at	0.00113	1.41e-05	5.4	3.177828	1.51	ILKAP	ILK associated serine/threonine phosphatase
230411_at	0.00113	1.41e-05	5.4	3.171805	1.17	UBE2V2	ubiquitin conjugating enzyme E2 V2
212791_at	0.00113	1.42e-05	5.4	3.170707	1.46	C1orf216	chromosome 1 open reading frame 216
209159_s_at	0.00114	1.44e-05	5.39	3.151374	1.42	NDRG4	NDRG family member 4
213726_x_at	0.00118	1.52e-05	5.37	3.102168	1.76	TUBB4B	tubulin beta 4B class IVb
218609_s_at	0.0012	1.55e-05	5.36	3.084479	3.07	NUDT2	nudix hydrolase 2
204663_at	0.0012	1.55e-05	5.36	3.083181	1.2	ME3	malic enzyme 3
217768_at	0.0012	1.56e-05	5.36	3.0806	1.53	C14orf166	chromosome 14 open reading frame 166
219896_at	0.00121	1.57e-05	5.35	3.072692	1.58	CALY	calcyon neuron specific vesicular protein
200627_at	0.00123	1.6e-05	5.35	3.051405	1.31	PTGES3	prostaglandin E synthase 3
213411_at	0.00123	1.6e-05	5.35	3.050512	1.18	ADAM22	ADAM metallopeptidase domain 22
224800_at	0.00124	1.61e-05	5.34	3.045204	1.86	WDFY1	WD repeat and FYVE domain containing 1
212911_at	0.00124	1.63e-05	5.34	3.038356	1.47	DNAJC16	DnaJ heat shock protein family (Hsp40) member C16
201481_s_at	0.00125	1.63e-05	5.34	3.034361	1.64	PYGB	phosphorylase, glycogen; brain
200754_x_at	0.00125	1.65e-05	5.34	3.026324	1.42	MIR636///SRSF2	microRNA 636///serine and arginine rich splicing factor 2
223531_x_at	0.00129	1.7e-05	5.32	2.992849	1.39	GPR89A///GPR89B	G protein-coupled receptor 89A///G protein-coupled receptor 89B
201920_at	0.00129	1.71e-05	5.32	2.989531	1.17	SLC20A1	solute carrier family 20 member 1
223316_at	0.00131	1.75e-05	5.31	2.969712	1.43	CCDC3	coiled-coil domain containing 3
227453_at	0.00132	1.77e-05	5.31	2.955342	1.44	UNC13A	unc-13 homolog A
209755_at	0.00134	1.8e-05	5.3	2.939415	1.73	NMNAT2	nicotinamide nucleotide adenylyltransferase 2
226647_at	0.00134	1.81e-05	5.3	2.932738	1.46	TMEM25	transmembrane protein 25
221768_at	0.00136	1.85e-05	5.29	2.913649	1.73	SFPQ	splicing factor proline and glutamine rich
200862_at	0.00136	1.85e-05	5.29	2.913216	2.2	DHCR24	24-dehydrocholesterol reductase
235070_at	0.00136	1.86e-05	5.29	2.909236	1.44	RBFOX1	RNA binding protein, fox-1 homolog 1
208977_x_at	0.00137	1.89e-05	5.28	2.89439	1.63	TUBB4B	tubulin beta 4B class IVb
201387_s_at	0.00139	1.93e-05	5.27	2.874876	1.73	UCHL1	ubiquitin C-terminal hydrolase L1
236465_at	0.00139	1.93e-05	5.27	2.873925	1.26	RNF175	ring finger protein 175
221263_s_at	0.0014	1.94e-05	5.27	2.867654	1.16	SF3B5	splicing factor 3b subunit 5
219425_at	0.00141	1.95e-05	5.27	2.861703	1.67	SULT4A1	sulfotransferase family 4A member 1
221727_at	0.00141	1.97e-05	5.27	2.85441	1.79	SUB1	SUB1 homolog, transcriptional regulator
201076_at	0.00141	1.97e-05	5.26	2.85123	1.75	SNU13	SNU13 homolog, small nuclear ribonucleoprotein (U4/U6.U5)
201648_at	0.00141	1.98e-05	5.26	2.849007	1.77	JAK1	Janus kinase 1
202000_at	0.00143	2.01e-05	5.26	2.833958	1.13	NDUFA6	NADH:ubiquinone oxidoreductase subunit A6
221474_at	0.00145	2.05e-05	5.25	2.816677	1.5	MYL12B	myosin light chain 12B
201217_x_at	0.00145	2.06e-05	5.25	2.811569	2.05	SNORD83B///SNORD139///RPL3	small nucleolar RNA, C/D box 83B///small nucleolar RNA, C/D box 139///ribosomal protein L3
203865_s_at	0.00145	2.06e-05	5.25	2.810885	1.64	ADARB1	adenosine deaminase, RNA specific B1
200691_s_at	0.00148	2.11e-05	5.24	2.786274	1.28	HSPA9	heat shock protein family A (Hsp70) member 9
1560339_s_at	0.00148	2.12e-05	5.24	2.784779	1.09	NAP1L4	nucleosome assembly protein 1 like 4
208308_s_at	0.00149	2.15e-05	5.23	2.769005	1.44	GPI	glucose-6-phosphate isomerase
225870_s_at	0.0015	2.17e-05	5.23	2.759679	1.02	TRAPPC5	trafficking protein particle complex 5
200019_s_at	0.00151	2.19e-05	5.22	2.753573	1.13	FAU	FAU, ubiquitin like and ribosomal protein S30 fusion
201698_s_at	0.00153	2.25e-05	5.21	2.726007	1.62	GATC///SRSF9	glutamyl-tRNA amidotransferase subunit C///serine and arginine rich splicing factor 9
212894_at	0.00154	2.26e-05	5.21	2.723249	1.37	SUPV3L1	Suv3 like RNA helicase
225310_at	0.00154	2.27e-05	5.21	2.718746	1.33	LOC101928747///RBMX///SNORD61	uncharacterized LOC101928747///RNA binding motif protein, X-linked///small nucleolar RNA, C/D box 61
200882_s_at	0.00154	2.27e-05	5.21	2.718444	1.24	PSMD4	proteasome 26S subunit, non-ATPase 4
208445_s_at	0.00154	2.28e-05	5.21	2.71388	1.06	BAZ1B	bromodomain adjacent to zinc finger domain 1B
213476_x_at	0.00154	2.29e-05	5.21	2.711071	1.94	TUBB3	tubulin beta 3 class III
